,count,mean,std,min,25%,50%,75%,max
YEAR,9087.0,2021.0,0.0,2021.0,2021.0,2021.0,2021.0,2021.0
CASEID,9087.0,20210627863551.246,350606275.3219249,20210101210037.0,20210302211687.5,20210605211679.0,20210908211929.0,20211212212591.0
SERIAL,9087.0,4544.0,2623.33528165959,1.0,2272.5,4544.0,6815.5,9087.0
REGION,9087.0,2.6712886541212724,1.0031394264943518,1.0,2.0,3.0,3.0,4.0
FAMINCOME,9087.0,11.830637173984814,3.7446322373905354,1.0,9.0,13.0,15.0,16.0
HH_CHILD,9087.0,0.34378782876636954,0.4749974596979904,0.0,0.0,0.0,1.0,1.0
PERNUM,9087.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
LINENO,9087.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
MONTH,9087.0,6.212171233630461,3.489251661665438,1.0,3.0,6.0,9.0,12.0
DAY,9087.0,3.9056894464619787,2.3391267519434664,1.0,1.0,4.0,6.0,7.0
WT06,9087.0,10669619.008988988,9198182.46814462,787396.750391,4668041.7871455,8071829.99311,13493255.945737,125054624.409116
AGE,9087.0,51.3763618355893,18.557799015663903,15.0,36.0,52.0,67.0,85.0
SEX,9087.0,1.5451744250027513,0.4979824912406852,1.0,1.0,2.0,2.0,2.0
RACE,9087.0,104.61802575107296,14.280133276811862,100.0,100.0,100.0,100.0,300.0
MARST,9087.0,2.9297898096181356,2.0976913060790747,1.0,1.0,2.0,5.0,6.0
GENHEALTH,9087.0,25.7580059425553,41.22129448988779,1.0,2.0,3.0,5.0,99.0
EDUC,9087.0,31.142511279850336,9.35411668719403,10.0,21.0,31.0,40.0,43.0
EMPSTAT,9087.0,2.6438868713546824,1.9249516637406432,1.0,1.0,1.0,5.0,5.0
KIDUND18,9087.0,0.27643886871354684,0.44726103643380355,0.0,0.0,0.0,1.0,1.0
WB_RESP,9087.0,0.7595466050401672,0.427382335360417,0.0,1.0,1.0,1.0,1.0
RESTED,9087.0,25.214262132717067,41.5247126953584,1.0,1.0,2.0,4.0,99.0
WBWT,9087.0,8949507.754401384,10147190.149860105,0.0,1956529.3865765,6308561.195797,12468491.1851155,107866678.827947
WBTYPICAL,9087.0,25.200726312314295,41.52855308654493,1.0,2.0,2.0,3.0,99.0
WBLADDER,9087.0,245.768350390668,423.8323914419612,0.0,7.0,8.0,10.0,999.0
BLS_COMM_TELE,9087.0,9.545064377682403,32.88687394194276,0.0,0.0,0.0,0.0,540.0
BLS_LEIS_SOCCOM,9087.0,38.322548695939254,91.97766216782084,0.0,0.0,0.0,30.0,1150.0
BLS_LEIS_TV,9087.0,194.9656652360515,194.05331172911926,0.0,50.0,150.0,280.0,1400.0
DIGITAL_LEISURE,9087.0,29.211841091669417,80.22198263916324,0.0,0.0,0.0,0.0,1216.0
